RT,selected_box,reward,correct_box,sID,p_right,correct,model_name,TrialID,rewardversion,ACC,switch_trial,block,trialsinceswitch,outcome_1_back,outcome_2_back,choice_left,choice_1_back,choice_2_back
36,1,1,1,205,,,,1,1,True,False,0,0.0,,,False,,
127,1,1,1,205,,,,2,1,True,False,0,1.0,1.0,,False,False,
1487,0,0,1,205,,,,3,1,False,False,0,2.0,1.0,1.0,True,False,False
1034,1,1,1,205,,,,4,1,True,False,0,3.0,0.0,1.0,False,True,False
399,1,1,1,205,,,,5,1,True,False,0,4.0,1.0,0.0,False,False,True
335,0,0,1,205,,,,6,1,False,False,0,5.0,1.0,1.0,True,False,False
24,1,1,1,205,,,,7,1,True,False,0,6.0,0.0,1.0,False,True,False
298,1,1,1,205,,,,8,1,True,False,0,7.0,1.0,0.0,False,False,True
260,1,1,1,205,,,,9,1,True,False,0,8.0,1.0,1.0,False,False,False
382,1,1,1,205,,,,10,1,True,False,0,9.0,1.0,1.0,False,False,False
330,1,0,1,205,,,,11,1,True,False,0,-4.0,1.0,1.0,False,False,False
205,1,1,1,205,,,,12,1,True,False,0,-3.0,0.0,1.0,False,False,False
287,1,1,1,205,,,,13,1,True,False,0,-2.0,1.0,0.0,False,False,False
246,1,1,1,205,,,,14,1,True,False,0,-1.0,1.0,1.0,False,False,False
209,1,0,0,205,,,,15,1,False,True,1,0.0,1.0,1.0,False,False,False
502,1,0,0,205,,,,16,1,False,False,1,1.0,0.0,1.0,False,False,False
418,0,1,0,205,,,,17,1,True,False,1,2.0,0.0,0.0,True,False,False
241,0,1,0,205,,,,18,1,True,False,1,3.0,1.0,0.0,True,True,False
126,0,1,0,205,,,,19,1,True,False,1,4.0,1.0,1.0,True,True,True
1735,1,0,0,205,,,,20,1,False,False,1,5.0,1.0,1.0,False,True,True
634,1,0,0,205,,,,21,1,False,False,1,6.0,0.0,1.0,False,False,True
223,0,1,0,205,,,,22,1,True,False,1,7.0,0.0,0.0,True,False,False
236,1,0,0,205,,,,23,1,False,False,1,8.0,1.0,0.0,False,True,False
711,0,1,0,205,,,,24,1,True,False,1,9.0,0.0,1.0,True,False,True
300,0,0,0,205,,,,25,1,True,False,1,10.0,1.0,0.0,True,True,False
309,1,0,0,205,,,,26,1,False,False,1,11.0,0.0,1.0,False,True,True
22,1,0,0,205,,,,27,1,False,False,1,12.0,0.0,0.0,False,False,True
77,0,0,0,205,,,,28,1,True,False,1,13.0,0.0,0.0,True,False,False
286,1,0,0,205,,,,29,1,False,False,1,14.0,0.0,0.0,False,True,False
854,1,0,0,205,,,,30,1,False,False,1,15.0,0.0,0.0,False,False,True
336,1,0,0,205,,,,31,1,False,False,1,16.0,0.0,0.0,False,False,False
426,0,1,0,205,,,,32,1,True,False,1,17.0,0.0,0.0,True,False,False
307,0,1,0,205,,,,33,1,True,False,1,18.0,1.0,0.0,True,True,False
509,0,0,0,205,,,,34,1,True,False,1,-4.0,1.0,1.0,True,True,True
406,0,1,0,205,,,,35,1,True,False,1,-3.0,0.0,1.0,True,True,True
262,0,1,0,205,,,,36,1,True,False,1,-2.0,1.0,0.0,True,True,True
232,0,1,0,205,,,,37,1,True,False,1,-1.0,1.0,1.0,True,True,True
37,0,0,1,205,,,,38,1,False,True,2,0.0,1.0,1.0,True,True,True
591,1,1,1,205,,,,39,1,True,False,2,1.0,0.0,1.0,False,True,True
1357,0,0,1,205,,,,40,1,False,False,2,2.0,1.0,0.0,True,False,True
328,1,1,1,205,,,,41,1,True,False,2,-4.0,0.0,1.0,False,True,False
263,1,1,1,205,,,,42,1,True,False,2,-3.0,1.0,0.0,False,False,True
45,1,1,1,205,,,,43,1,True,False,2,-2.0,1.0,1.0,False,False,False
238,1,1,1,205,,,,44,1,True,False,2,-1.0,1.0,1.0,False,False,False
190,1,0,0,205,,,,45,1,False,True,3,0.0,1.0,1.0,False,False,False
118,1,0,0,205,,,,46,1,False,False,3,1.0,0.0,1.0,False,False,False
1012,0,1,0,205,,,,47,1,True,False,3,2.0,0.0,0.0,True,False,False
227,0,1,0,205,,,,48,1,True,False,3,3.0,1.0,0.0,True,True,False
85,0,1,0,205,,,,49,1,True,False,3,4.0,1.0,1.0,True,True,True
268,0,1,0,205,,,,50,1,True,False,3,5.0,1.0,1.0,True,True,True
187,0,0,0,205,,,,51,1,True,False,3,6.0,1.0,1.0,True,True,True
230,1,0,0,205,,,,52,1,False,False,3,-4.0,0.0,1.0,False,True,True
313,0,1,0,205,,,,53,1,True,False,3,-3.0,0.0,0.0,True,False,True
378,0,1,0,205,,,,54,1,True,False,3,-2.0,1.0,0.0,True,True,False
290,0,1,0,205,,,,55,1,True,False,3,-1.0,1.0,1.0,True,True,True
280,0,0,1,205,,,,56,1,False,True,4,0.0,1.0,1.0,True,True,True
366,0,0,1,205,,,,57,1,False,False,4,1.0,0.0,1.0,True,True,True
