pp,trial1,hit1,response1,outcome1,outcometype1,condition1,trial2,hit2,response2,outcome2,outcometype2,condition2
1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,2,0,2,-1,2,1
1,3,1,1,1,1,1,3,1,1,1,1,1
1,4,1,1,1,1,1,4,1,1,1,1,1
1,5,1,1,1,1,1,5,1,1,1,1,1
1,6,1,1,1,1,1,6,1,1,-1,2,1
1,7,1,1,1,1,1,7,0,2,-1,2,1
1,8,0,1,-1,2,2,8,1,1,-1,2,1
1,9,0,1,-1,2,2,9,1,1,-1,2,1
1,10,1,2,1,1,2,10,1,2,1,1,2
1,11,1,2,1,1,2,11,1,2,1,1,2
1,12,1,2,-1,2,2,12,1,2,1,1,2
1,13,1,2,-1,2,2,13,1,2,-1,2,2
1,14,0,1,1,1,2,14,1,2,1,1,2
1,15,0,1,-1,2,2,15,1,2,1,1,2
1,16,0,1,-1,2,2,16,1,2,-1,2,2
1,17,1,2,1,1,2,17,0,2,-1,2,3
1,18,1,2,-1,2,2,18,1,1,1,1,3
1,19,1,2,1,1,2,19,1,1,-1,2,3
1,20,0,2,1,1,3,20,1,1,1,1,3
1,21,0,2,-1,2,3,21,1,1,-1,2,3
1,22,0,2,1,1,3,22,1,1,1,1,3
1,23,0,2,-1,2,3,23,1,1,-1,2,3
1,24,0,2,-1,2,3,24,1,1,-1,2,3
1,25,1,1,1,1,3,25,1,2,1,1,2
1,26,1,1,1,1,3,26,1,2,1,1,2
1,27,1,1,1,1,3,27,1,2,1,1,2
1,28,1,1,-1,2,3,28,1,2,1,1,2
1,29,0,2,-1,2,3,29,1,2,1,1,2
1,30,0,2,1,1,3,30,1,2,1,1,2
1,31,0,2,-1,2,3,31,1,2,1,1,2
1,32,0,2,-1,2,3,32,0,2,-1,2,1
1,33,1,1,1,1,3,33,0,2,-1,2,1
1,34,1,1,1,1,3,34,1,1,1,1,1
1,35,1,1,-1,2,3,35,1,1,1,1,1
1,36,0,1,-1,2,2,36,1,1,1,1,1
1,37,1,2,1,1,2,37,1,1,1,1,1
1,38,1,2,1,1,2,38,1,1,-1,2,1
1,39,1,2,1,1,2,39,1,1,1,1,1
1,40,1,2,1,1,2,40,1,1,1,1,1
1,41,1,2,-1,2,2,41,0,1,-1,2,2
1,42,1,2,1,1,2,42,0,1,-1,2,2
1,43,1,2,1,1,2,43,1,2,1,1,2
1,44,0,2,-1,2,1,44,1,2,1,1,2
1,45,0,2,-1,2,1,45,1,2,-1,2,2
1,46,1,1,-1,2,1,46,1,2,1,1,2
1,47,1,1,1,1,1,47,1,2,1,1,2
1,48,1,1,1,1,1,48,1,2,1,1,2
1,49,1,1,1,1,1,49,1,2,1,1,2
1,50,1,1,1,1,1,50,0,2,-1,2,3
1,51,1,1,-1,2,1,51,0,2,-1,2,3
1,52,1,1,-1,2,1,52,1,1,1,1,3
1,53,1,2,-1,2,2,53,1,1,1,1,3
1,54,0,1,-1,2,2,54,1,1,-1,2,3
1,55,1,2,1,1,2,55,1,1,-1,2,3
1,56,1,2,-1,2,2,56,0,2,1,1,3
1,57,1,2,1,1,2,57,0,2,-1,2,3
1,58,1,2,1,1,2,58,0,2,1,1,3
1,59,1,2,1,1,2,59,0,2,-1,2,3
1,60,1,2,1,1,2,60,0,2,-1,2,3
1,61,0,2,1,1,3,61,1,1,1,1,3
1,62,0,2,-1,2,3,62,1,1,-1,2,3
1,63,1,1,-1,2,3,63,1,1,1,1,3
1,64,1,1,-1,2,3,64,1,1,1,1,3
1,65,0,2,-1,2,3,65,1,1,1,1,3
1,66,0,2,-1,2,3,66,1,1,1,1,1
1,67,1,1,1,1,3,67,1,1,-1,2,1
1,68,1,1,-1,2,3,68,0,2,1,1,1
1,69,1,1,-1,2,3,69,0,2,-1,2,1
1,70,0,2,1,1,3,70,0,2,1,1,1
1,71,0,2,1,1,3,71,0,2,1,1,1
1,72,0,2,1,1,3,72,0,2,-1,2,1
1,73,0,2,-1,2,3,73,1,1,1,1,1
1,74,0,2,1,1,3,74,1,1,1,1,1
1,75,0,2,1,1,3,75,1,1,1,1,1
1,76,0,2,-1,2,3,76,1,1,-1,2,1
1,77,0,2,-1,2,1,77,0,2,1,1,1
1,78,1,1,-1,2,1,78,0,2,-1,2,1
1,79,1,1,1,1,1,79,0,2,-1,2,1
1,80,1,1,1,1,1,80,1,1,1,1,1
1,81,1,1,1,1,1,81,1,1,1,1,1
1,82,1,1,1,1,1,82,0,1,-1,2,2
1,83,1,1,1,1,1,83,1,2,1,1,2
1,84,1,1,-1,2,1,84,1,2,1,1,2
1,85,0,1,1,1,2,85,1,2,1,1,2
1,86,0,1,-1,2,2,86,1,2,1,1,2
1,87,0,1,-1,2,2,87,1,2,1,1,2
1,88,1,2,1,1,2,88,1,2,1,1,2
1,89,1,2,1,1,2,89,1,2,1,1,2
1,90,1,2,1,1,2,90,0,2,-1,2,1
1,91,1,2,1,1,2,91,1,1,-1,2,1
1,92,1,2,1,1,2,92,1,1,1,1,1
1,93,1,2,1,1,2,93,1,1,1,1,1
1,94,1,2,-1,2,2,94,1,1,1,1,1
1,95,0,2,-1,2,1,95,1,1,1,1,1
1,96,0,2,-1,2,1,96,1,1,1,1,1
1,97,1,1,1,1,1,97,1,1,1,1,1
1,98,1,1,1,1,1,98,0,1,1,1,3
1,99,1,1,1,1,1,99,0,1,1,1,3
1,100,1,1,-1,2,1,100,0,1,-1,2,3
1,101,1,1,1,1,1,101,1,2,-1,2,3
1,102,1,1,1,1,1,102,1,2,1,1,3
1,103,1,1,1,1,1,103,1,2,1,1,3
1,104,0,1,-1,2,3,104,1,2,1,1,3
1,105,0,1,-1,2,3,105,1,2,1,1,3
1,106,1,2,-1,2,3,106,1,2,1,1,3
1,107,1,2,1,1,3,107,1,2,-1,2,3
1,108,1,2,-1,2,3,108,0,2,-1,2,1
1,109,1,2,-1,2,3,109,1,1,-1,2,1
1,110,0,1,1,1,3,110,1,1,1,1,1
1,111,0,1,-1,2,3,111,1,1,1,1,1
1,112,0,1,-1,2,3,112,1,1,-1,2,1
1,113,1,2,1,1,3,113,1,1,1,1,1
1,114,1,2,-1,2,3,114,1,1,1,1,1
1,115,1,2,-1,2,3,115,1,1,-1,2,1
1,116,0,2,-1,2,1,116,1,2,1,1,2
1,117,1,1,1,1,1,117,1,2,1,1,2
1,118,1,1,1,1,1,118,1,2,1,1,2
1,119,1,1,1,1,1,119,1,2,1,1,2
1,120,1,1,1,1,1,120,1,2,1,1,2
1,121,1,1,1,1,1,121,1,2,1,1,2
1,122,1,1,-1,2,1,122,1,2,1,1,2
1,123,1,1,1,1,1,123,0,2,1,1,3
1,124,0,1,1,1,2,124,0,2,1,1,3
1,125,0,1,-1,2,2,125,0,2,1,1,3
1,126,0,1,-1,2,2,126,0,2,1,1,3
1,127,1,2,1,1,2,127,0,2,-1,2,3
1,128,1,2,1,1,2,128,1,1,-1,2,3
1,129,1,2,1,1,2,129,0,2,-1,2,3
1,130,1,2,1,1,2,130,1,1,1,1,3
1,131,1,2,-1,2,2,131,1,1,1,1,3
1,132,1,2,1,1,2,132,1,1,1,1,3
1,133,1,2,1,1,2,133,1,1,-1,2,3
1,134,0,2,1,1,3,134,1,1,-1,2,3
1,135,0,2,-1,2,3,135,0,2,1,1,3
1,136,0,2,-1,2,3,136,0,2,1,1,3
1,137,1,1,1,1,3,137,0,2,-1,2,3
1,138,1,1,-1,2,3,138,0,2,1,1,3
1,139,1,1,1,1,3,139,1,2,-1,2,2
1,140,1,1,-1,2,3,140,1,2,1,1,2
1,141,1,1,1,1,3,141,1,2,1,1,2
1,142,1,1,-1,2,3,142,1,2,-1,2,2
1,143,1,1,-1,2,3,143,0,1,-1,2,2
1,144,1,2,-1,2,2,144,0,1,-1,2,2
1,145,1,2,-1,2,2,145,1,2,1,1,2
1,146,1,2,1,1,2,146,1,2,1,1,2
1,147,1,2,1,1,2,147,1,2,1,1,2
1,148,1,2,1,1,2,148,0,2,1,1,1
1,149,1,2,1,1,2,149,0,2,-1,2,1
1,150,1,2,1,1,2,150,1,1,1,1,1
1,151,0,2,-1,2,1,151,1,1,1,1,1
1,152,0,2,-1,2,1,152,1,1,-1,2,1
1,153,1,1,1,1,1,153,1,1,1,1,1
1,154,1,1,1,1,1,154,1,1,-1,2,1
1,155,1,1,1,1,1,155,1,1,1,1,1
1,156,1,1,1,1,1,156,1,1,1,1,1
1,157,1,1,1,1,1,157,0,1,1,1,3
1,158,1,1,1,1,1,158,0,1,-1,2,3
1,159,1,1,1,1,1,159,0,1,-1,2,3
1,160,0,1,1,1,3,160,1,2,1,1,3
1,161,0,1,-1,2,3,161,1,2,-1,2,3
1,162,0,1,-1,2,3,162,1,2,-1,2,3
1,163,1,2,-1,2,3,163,0,1,1,1,3
1,164,1,2,-1,2,3,164,0,1,1,1,3
1,165,0,1,-1,2,3,165,0,1,-1,2,3
1,166,1,2,-1,2,3,166,0,1,-1,2,3
1,167,1,2,1,1,3,167,0,1,1,1,3
1,168,1,2,1,1,3,168,0,1,1,1,3
1,169,1,2,1,1,3,169,0,1,-1,2,3
1,170,1,2,1,1,3,170,0,1,-1,2,3
1,171,0,2,1,1,1,171,1,2,-1,2,3
1,172,0,2,-1,2,1,172,1,2,-1,2,3
1,173,0,2,-1,2,1,173,1,1,1,1,1
1,174,0,2,-1,2,1,174,1,1,1,1,1
1,175,1,1,1,1,1,175,1,1,1,1,1
1,176,1,1,1,1,1,176,1,1,1,1,1
1,177,1,1,1,1,1,177,1,1,-1,2,1
1,178,1,1,1,1,1,178,1,1,1,1,1
1,179,1,1,1,1,1,179,1,1,-1,2,1
1,180,1,1,1,1,1,180,0,1,1,1,2
1,181,1,1,1,1,1,181,0,1,-1,2,2
1,182,0,1,-1,2,2,182,0,1,-1,2,2
1,183,0,1,1,1,2,183,1,2,1,1,2
1,184,0,1,-1,2,2,184,1,2,1,1,2
1,185,0,1,-1,2,2,185,1,2,-1,2,2
1,186,1,2,-1,2,2,186,1,2,1,1,2
1,187,1,2,1,1,2,187,1,2,1,1,2
1,188,1,2,1,1,2,188,1,2,1,1,2
1,189,1,2,-1,2,2,189,1,2,1,1,2
1,190,1,2,1,1,2,190,0,2,1,1,1
1,191,1,2,-1,2,2,191,0,2,-1,2,1
1,192,1,2,1,1,2,192,0,2,1,1,1
1,193,0,2,-1,2,1,193,0,2,-1,2,1
1,194,0,2,-1,2,1,194,0,2,-1,2,1
1,195,1,1,1,1,1,195,0,2,1,1,1
1,196,1,1,1,1,1,196,0,2,-1,2,1
1,197,1,1,1,1,1,197,0,2,-1,2,1
1,198,1,1,-1,2,1,198,1,1,1,1,1
1,199,1,1,1,1,1,199,1,1,1,1,1
1,200,1,1,-1,2,1,200,1,1,1,1,1
1,201,1,1,1,1,1,201,1,1,-1,2,1
1,202,0,1,-1,2,3,202,1,1,1,1,1
1,203,0,1,1,1,3,203,1,1,1,1,1
1,204,0,1,1,1,3,204,1,1,1,1,1
1,205,0,1,1,1,3,205,0,1,-1,2,3
1,206,0,1,1,1,3,206,0,1,-1,2,3
1,207,0,1,1,1,3,207,0,1,-1,2,3
1,208,0,1,-1,2,3,208,1,2,-1,2,3
1,209,0,1,1,1,3,209,1,2,-1,2,3
1,210,0,1,1,1,3,210,0,1,-1,2,3
1,211,0,1,-1,2,3,211,1,2,1,1,3
1,212,0,1,1,1,3,212,1,2,-1,2,3
1,213,0,1,-1,2,3,213,1,2,1,1,3
1,214,0,1,1,1,3,214,1,2,-1,2,3
1,215,0,1,1,1,3,215,1,2,-1,2,3
1,216,0,1,1,1,3,216,0,1,-1,2,2
1,217,0,1,-1,2,3,217,1,2,1,1,2
1,218,0,1,-1,2,2,218,1,2,-1,2,2
1,219,1,2,1,1,2,219,1,2,-1,2,2
1,220,1,2,1,1,2,220,1,2,1,1,2
1,221,1,2,-1,2,2,221,1,2,1,1,2
1,222,1,2,1,1,2,222,1,2,-1,2,2
1,223,1,2,-1,2,2,223,1,2,1,1,2
1,224,1,2,1,1,2,224,0,2,-1,2,3
1,225,1,2,1,1,2,225,0,2,1,1,3
1,226,0,2,1,1,3,226,0,2,1,1,3
1,227,0,2,1,1,3,227,0,2,-1,2,3
1,228,0,2,1,1,3,228,0,2,-1,2,3
1,229,0,2,1,1,3,229,0,2,1,1,3
1,230,0,2,-1,2,3,230,0,2,-1,2,3
1,231,0,2,1,1,3,231,0,2,1,1,3
1,232,0,2,-1,2,3,232,0,2,1,1,3
1,233,0,2,1,1,3,233,0,2,1,1,3
1,234,0,2,1,1,3,234,0,2,1,1,3
1,235,0,2,-1,2,3,235,0,2,1,1,3
1,236,0,2,-1,2,3,236,0,2,-1,2,3
1,237,0,2,1,1,3,237,0,2,1,1,3
1,238,0,2,1,1,3,238,0,2,1,1,3
1,239,0,2,-1,2,3,239,1,1,1,1,3
1,240,0,2,-1,2,3,240,0,1,-1,2,2
1,241,1,1,-1,2,3,241,0,1,-1,2,2
1,242,0,1,1,1,2,242,0,1,-1,2,2
1,243,0,1,-1,2,2,243,1,2,1,1,2
1,244,0,1,1,1,2,244,1,2,1,1,2
1,245,0,1,-1,2,2,245,1,2,1,1,2
1,246,1,2,1,1,2,246,1,2,-1,2,2
1,247,1,2,1,1,2,247,1,2,1,1,2
1,248,1,2,1,1,2,248,1,2,1,1,2
1,249,1,2,1,1,2,249,1,2,-1,2,2
2,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,2,-1,2,1,2,1,1,-1,2,1
2,3,1,1,-1,2,1,3,1,1,1,1,1
2,4,1,1,1,1,1,4,1,1,1,1,1
2,5,1,1,1,1,1,5,1,1,1,1,1
2,6,0,2,-1,2,1,6,1,1,1,1,1
2,7,1,1,1,1,1,7,1,1,1,1,1
2,8,1,1,1,1,1,8,0,1,-1,2,2
2,9,1,1,1,1,1,9,0,1,-1,2,2
2,10,0,1,-1,2,2,10,0,1,-1,2,2
2,11,1,2,1,1,2,11,1,2,1,1,2
2,12,0,1,-1,2,2,12,1,2,1,1,2
2,13,1,2,1,1,2,13,1,2,1,1,2
2,14,1,2,1,1,2,14,0,1,-1,2,2
2,15,0,1,1,1,2,15,0,1,-1,2,2
2,16,1,2,1,1,2,16,1,2,-1,2,2
2,17,0,1,-1,2,2,17,1,2,1,1,2
2,18,1,2,-1,2,2,18,1,2,1,1,2
2,19,0,1,-1,2,2,19,1,2,1,1,2
2,20,0,1,-1,2,2,20,1,1,-1,2,3
2,21,0,1,-1,2,2,21,0,2,-1,2,3
2,22,1,2,1,1,2,22,1,1,-1,2,3
2,23,1,2,1,1,2,23,0,2,1,1,3
2,24,1,2,1,1,2,24,1,1,-1,2,3
2,25,1,2,1,1,2,25,0,2,1,1,3
2,26,1,1,1,1,3,26,1,1,1,1,3
2,27,0,2,-1,2,3,27,0,2,-1,2,3
2,28,0,2,1,1,3,28,1,1,1,1,3
2,29,1,1,1,1,3,29,0,2,1,1,3
