subj,session,epN,epLength,hiRewAct,epTrialN,action,outcome
1,1,1,32,2,1,2,1
1,1,1,32,2,2,2,1
1,1,1,32,2,3,2,1
1,1,1,32,2,4,1,-1
1,1,1,32,2,5,2,-1
1,1,1,32,2,6,1,1
1,1,1,32,2,7,1,-1
1,1,1,32,2,8,2,1
1,1,1,32,2,9,1,1
1,1,1,32,2,10,1,-1
1,1,1,32,2,11,2,1
1,1,1,32,2,12,2,1
1,1,1,32,2,13,1,-1
1,1,1,32,2,14,2,1
1,1,1,32,2,15,2,-1
1,1,1,32,2,16,2,1
1,1,1,32,2,17,2,1
1,1,1,32,2,18,1,1
1,1,1,32,2,19,1,-1
1,1,1,32,2,20,1,NaN
1,1,1,32,2,21,2,1
1,1,1,32,2,22,2,-1
1,1,1,32,2,23,1,-1
1,1,1,32,2,24,2,-1
1,1,1,32,2,25,1,-1
1,1,1,32,2,26,2,1
1,1,1,32,2,27,2,1
1,1,1,32,2,28,1,1
1,1,1,32,2,29,2,-1
1,1,1,32,2,30,1,-1
1,1,1,32,2,31,2,-1
1,1,1,32,2,32,1,-1
1,1,2,16,1,1,2,-1
1,1,2,16,1,2,1,-1
1,1,2,16,1,3,1,-1
1,1,2,16,1,4,2,1
1,1,2,16,1,5,2,-1
1,1,2,16,1,6,1,1
1,1,2,16,1,7,2,-1
1,1,2,16,1,8,1,-1
1,1,2,16,1,9,2,-1
1,1,2,16,1,10,1,1
1,1,2,16,1,11,1,1
1,1,2,16,1,12,2,1
1,1,2,16,1,13,2,-1
1,1,2,16,1,14,1,1
1,1,2,16,1,15,2,-1
1,1,2,16,1,16,1,1
1,1,3,16,2,1,1,-1
1,1,3,16,2,2,2,1
1,1,3,16,2,3,1,-1
1,1,3,16,2,4,2,1
1,1,3,16,2,5,2,-1
1,1,3,16,2,6,1,1
1,1,3,16,2,7,1,-1
1,1,3,16,2,8,2,1
1,1,3,16,2,9,1,-1
1,1,3,16,2,10,2,1
1,1,3,16,2,11,2,-1
1,1,3,16,2,12,2,-1
1,1,3,16,2,13,1,-1
1,1,3,16,2,14,2,-1
1,1,3,16,2,15,1,1
1,1,3,16,2,16,1,-1
1,1,4,24,1,1,1,1
1,1,4,24,1,2,1,1
1,1,4,24,1,3,1,1
1,1,4,24,1,4,2,-1
1,1,4,24,1,5,1,1
1,1,4,24,1,6,1,1
1,1,4,24,1,7,1,-1
1,1,4,24,1,8,2,-1
1,1,4,24,1,9,1,1
1,1,4,24,1,10,1,1
1,1,4,24,1,11,1,1
1,1,4,24,1,12,1,-1
1,1,4,24,1,13,2,1
1,1,4,24,1,14,2,-1
1,1,4,24,1,15,2,1
1,1,4,24,1,16,2,1
1,1,4,24,1,17,2,-1
1,1,4,24,1,18,1,1
1,1,4,24,1,19,1,-1
1,1,4,24,1,20,2,-1
1,1,4,24,1,21,2,-1
1,1,4,24,1,22,1,1
1,1,4,24,1,23,1,-1
1,1,4,24,1,24,2,-1
1,1,5,8,2,1,1,-1
1,1,5,8,2,2,1,1
1,1,5,8,2,3,1,-1
1,1,5,8,2,4,2,1
1,1,5,8,2,5,2,1
1,1,5,8,2,6,1,1
1,1,5,8,2,7,2,1
1,1,5,8,2,8,2,1
1,1,6,24,1,1,2,-1
1,1,6,24,1,2,2,-1
1,1,6,24,1,3,1,-1
1,1,6,24,1,4,1,1
1,1,6,24,1,5,1,1
1,1,6,24,1,6,2,-1
1,1,6,24,1,7,1,1
1,1,6,24,1,8,2,NaN
1,1,6,24,1,9,1,1
